Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient (Level 3 or 4),Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2016-2017,1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,English Language Arts,SWD with Accommodations,All Grades,1,14.3,0,0.0,1,14.3,4,57.1,2,28.6,7,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,English Language Arts,Students with Disabilities (SWD),All Grades,14,34.1,3,7.3,11,26.8,13,31.7,14,34.1,41,67.2
2016-2017,1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,English Language Arts,Total Population (All Students),All Grades,421,75.6,199,35.7,222,39.9,97,17.4,39,7.0,557,91.5
2016-2017,1976,Bend-LaPine Administrative SD 1,242,Cascade Middle School,English Language Arts,White,All Grades,367,78.3,177,37.7,190,40.5,72,15.4,30,6.4,469,90.9
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,56,42.1,21,15.8,35,26.3,40,30.1,37,27.8,134,97.8
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Female,All Grades,75,54.7,47,34.3,28,20.4,35,25.5,27,19.7,138,97.2
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Hispanic/Latino,All Grades,22,42.3,3,5.8,19,36.5,17,32.7,13,25.0,53,98.1
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,English Learners,All Grades,7,26.9,0,0.0,7,26.9,11,42.3,8,30.8,27,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Male,All Grades,94,66.2,40,28.2,54,38.0,25,17.6,23,16.2,142,98.6
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Migrant Education,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Multi-Racial,All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,SWD with Accommodations,All Grades,2,11.1,1,5.6,1,5.6,1,5.6,15,83.3,18,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,7,24.1,4,13.8,3,10.3,3,10.3,19,65.5,29,93.5
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,Total Population (All Students),All Grades,169,60.6,87,31.2,82,29.4,60,21.5,50,17.9,280,97.9
2016-2017,1976,Bend-LaPine Administrative SD 1,1308,Elk Meadow Elementary School,English Language Arts,White,All Grades,137,63.1,79,36.4,58,26.7,43,19.8,37,17.1,217,97.7
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,59,57.3,17,16.5,42,40.8,24,23.3,20,19.4,103,96.3
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Female,All Grades,33,60.0,11,20.0,22,40.0,15,27.3,7,12.7,55,94.8
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Hispanic/Latino,All Grades,8,42.1,0,0.0,8,42.1,7,36.8,4,21.1,19,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,English Learners,All Grades,2,33.3,0,0.0,2,33.3,1,16.7,3,50.0,6,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Male,All Grades,26,54.2,6,12.5,20,41.7,9,18.8,13,27.1,48,98.0
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,2,14.3,0,0.0,2,14.3,3,21.4,9,64.3,14,93.3
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,Total Population (All Students),All Grades,59,57.3,17,16.5,42,40.8,24,23.3,20,19.4,103,96.3
2016-2017,1976,Bend-LaPine Administrative SD 1,4129,Ensworth Elementary School,English Language Arts,White,All Grades,48,61.5,16,20.5,32,41.0,16,20.5,14,17.9,78,95.1
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Asian,All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Econo. Disadvantaged,All Grades,107,40.1,25,9.4,82,30.7,85,31.8,75,28.1,269,95.7
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Female,All Grades,239,66.2,86,23.8,153,42.4,72,19.9,50,13.9,361,93.5
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Hispanic/Latino,All Grades,41,30.1,10,7.4,31,22.8,50,36.8,45,33.1,138,97.2
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,English Learners,All Grades,2,5.3,0,0.0,2,5.3,14,36.8,22,57.9,40,97.6
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Male,All Grades,181,54.4,47,14.1,134,40.2,88,26.4,64,19.2,335,95.7
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Migrant Education,All Grades,1,14.3,0,0.0,1,14.3,2,28.6,4,57.1,7,87.5
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Multi-Racial,All Grades,12,80.0,4,26.7,8,53.3,1,6.7,2,13.3,15,93.8
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,SWD with Accommodations,All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Students with Disabilities (SWD),All Grades,12,17.1,1,1.4,11,15.7,23,32.9,35,50.0,70,90.9
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,Total Population (All Students),All Grades,420,60.5,133,19.2,287,41.4,160,23.1,114,16.4,696,94.6
2016-2017,1976,Bend-LaPine Administrative SD 1,1309,High Desert Middle School,English Language Arts,White,All Grades,351,67.1,115,22.0,236,45.1,106,20.3,66,12.6,523,94.4
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Asian,All Grades,8,80.0,4,40.0,4,40.0,1,10.0,1,10.0,10,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,16,40.0,7,17.5,9,22.5,13,32.5,11,27.5,40,97.6
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Female,All Grades,156,80.0,98,50.3,58,29.7,24,12.3,15,7.7,196,98.5
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Hispanic/Latino,All Grades,10,76.9,7,53.8,3,23.1,3,23.1,0,0.0,13,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Male,All Grades,127,71.8,77,43.5,50,28.2,37,20.9,13,7.3,177,96.7
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Multi-Racial,All Grades,10,90.9,7,63.6,3,27.3,1,9.1,0,0.0,11,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Pacific Islander,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,8,44.4,2,11.1,6,33.3,4,22.2,6,33.3,18,94.7
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,Total Population (All Students),All Grades,283,76.1,175,47.0,108,29.0,61,16.4,28,7.5,373,97.6
2016-2017,1976,Bend-LaPine Administrative SD 1,3218,High Lakes Elementary School,English Language Arts,White,All Grades,252,75.7,155,46.5,97,29.1,56,16.8,25,7.5,334,97.7
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,11,84.6,6,46.2,5,38.5,1,7.7,1,7.7,13,81.3
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Female,All Grades,65,87.8,43,58.1,22,29.7,4,5.4,5,6.8,74,81.3
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Hispanic/Latino,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,English Learners,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Male,All Grades,71,85.5,48,57.8,23,27.7,8,9.6,4,4.8,83,83.0
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,Total Population (All Students),All Grades,136,86.6,91,58.0,45,28.7,12,7.6,9,5.7,157,82.2
2016-2017,1976,Bend-LaPine Administrative SD 1,3219,Highland School at Kenwood Elementary School,English Language Arts,White,All Grades,126,86.3,87,59.6,39,26.7,12,8.2,8,5.5,146,81.1
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,71,50.0,26,18.3,45,31.7,40,28.2,31,21.8,142,85.5
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Female,All Grades,90,69.2,53,40.8,37,28.5,25,19.2,15,11.5,130,91.5
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Hispanic/Latino,All Grades,19,43.2,4,9.1,15,34.1,16,36.4,9,20.5,44,86.3
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,English Learners,All Grades,5,26.3,2,10.5,3,15.8,9,47.4,5,26.3,19,82.6
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Male,All Grades,86,63.7,48,35.6,38,28.1,28,20.7,21,15.6,135,83.9
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Multi-Racial,All Grades,10,90.9,6,54.5,4,36.4,1,9.1,0,0.0,11,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,3,37.5,0,0.0,3,37.5,2,25.0,3,37.5,8,27.6
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,> 95.0%,> 95.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,Total Population (All Students),All Grades,176,66.4,101,38.1,75,28.3,53,20.0,36,13.6,265,87.5
2016-2017,1976,Bend-LaPine Administrative SD 1,246,Juniper Elementary School,English Language Arts,White,All Grades,139,69.8,86,43.2,53,26.6,35,17.6,25,12.6,199,86.9
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Econo. Disadvantaged,All Grades,75,36.4,24,11.7,51,24.8,57,27.7,74,35.9,206,95.4
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Female,All Grades,36,39.6,15,16.5,21,23.1,34,37.4,21,23.1,91,93.8
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Hispanic/Latino,All Grades,4,33.3,2,16.7,2,16.7,4,33.3,4,33.3,12,85.7
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Male,All Grades,39,33.9,9,7.8,30,26.1,23,20.0,53,46.1,115,96.6
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Multi-Racial,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,SWD with Accommodations,All Grades,1,5.3,0,0.0,1,5.3,2,10.5,16,84.2,19,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Students with Disabilities (SWD),All Grades,2,8.7,0,0.0,2,8.7,4,17.4,17,73.9,23,82.1
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,Total Population (All Students),All Grades,75,36.4,24,11.7,51,24.8,57,27.7,74,35.9,206,95.4
2016-2017,1976,Bend-LaPine Administrative SD 1,245,LaPine Elementary School,English Language Arts,White,All Grades,68,36.8,22,11.9,46,24.9,50,27.0,67,36.2,185,96.4
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Asian,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Black/African American,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Econo. Disadvantaged,All Grades,105,39.3,23,8.6,82,30.7,73,27.3,89,33.3,267,95.7
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Extended Assessment,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Female,All Grades,67,47.9,12,8.6,55,39.3,42,30.0,31,22.1,140,96.6
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Hispanic/Latino,All Grades,5,25.0,1,5.0,4,20.0,5,25.0,10,50.0,20,100.0
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,American Indian/Alaskan Native,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Indian Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,English Learners,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Male,All Grades,38,29.9,11,8.7,27,21.3,31,24.4,58,45.7,127,94.8
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Migrant Education,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Multi-Racial,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Pacific Islander,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,SWD with Accommodations,All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Students with Disabilities (SWD),All Grades,< 5.0%,< 5.0%,-,-,-,-,-,-,-,-,-,-
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Talented and Gifted (TAG),All Grades,*,*,*,*,*,*,*,*,*,*,*,*
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,Total Population (All Students),All Grades,105,39.3,23,8.6,82,30.7,73,27.3,89,33.3,267,95.7
2016-2017,1976,Bend-LaPine Administrative SD 1,1310,LaPine Middle School,English Language Arts,White,All Grades,97,40.6,22,9.2,75,31.4,66,27.6,76,31.8,239,95.6
2016-2017,1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,English Language Arts,Asian,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,English Language Arts,Black/African American,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,English Language Arts,Econo. Disadvantaged,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,English Language Arts,Extended Assessment,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
2016-2017,1976,Bend-LaPine Administrative SD 1,253,LaPine Senior High School,English Language Arts,Female,All Grades,--,--,--,--,--,--,--,--,--,--,--,--
